designator,component_uuid,l1_cluster_id,l2_cluster_id,voltage_domain_l1,voltage_domain_l2,isolation_domain_l1,isolation_domain_l2,function_l1,function_l2,evidence_rule_ids_l1,evidence_rule_ids_l2
+12V,afdf6cfc288b1fd3,L1-12,L2-2,interface,interface,unknown,interface,测试点,测试点，用于外部测量电压轨,,
+24V,2891fc05960485ee,L1-12,L2-2,interface,interface,unknown,interface,测试点,测试点，用于外部测量电压轨,,
1,2eaf8c553b871f12,L1-13,L2-3,unknown,unknown,unknown,unknown,机械螺丝,机械螺丝，无电气连接,,
2,3d0935191dd8378f,L1-13,L2-3,unknown,unknown,unknown,unknown,机械螺丝,机械螺丝，无电气连接,,
3,071a7ea082997d22,L1-13,L2-3,unknown,unknown,unknown,unknown,机械螺丝,机械螺丝，无电气连接,,
3V3,f1c1523b2d0c62af,L1-12,L2-2,interface,interface,unknown,interface,测试点,测试点，用于外部测量电压轨,,
4,5eddef876eccbfc1,L1-13,L2-3,unknown,unknown,unknown,unknown,机械螺丝,机械螺丝，无电气连接,,
C1,12a89c098f24a575,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C10,626d3d718768e6e7,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C11,346fbca53114dfc1,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
