designator,domain_id,component_uuid,note
+12V,MAIN,afdf6cfc288b1fd3,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
+24V,MAIN,2891fc05960485ee,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
1,MECH,2eaf8c553b871f12,Research assumption: conductive unconnected mechanical mounting
2,MECH,3d0935191dd8378f,Research assumption: conductive unconnected mechanical mounting
3,MECH,071a7ea082997d22,Research assumption: conductive unconnected mechanical mounting
3V3,MAIN,f1c1523b2d0c62af,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
4,MECH,5eddef876eccbfc1,Research assumption: conductive unconnected mechanical mounting
C1,MAIN,12a89c098f24a575,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C10,MAIN,626d3d718768e6e7,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C11,MAIN,346fbca53114dfc1,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C12,MAIN,8104a01911c595ee,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C13,MAIN,a2d7275e9eaacba5,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C14,MAIN,ee448aaf8d5c0a87,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C15,MAIN,348f95251b3fc4ac,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C16,MAIN,0a389f30bb5d3ab4,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C17,MAIN,781af58c4272a38e,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C18,MAIN,7a2824bd230035fc,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C19,MAIN,30d1487be72f7f31,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C2,MAIN,60f8a4f31e53ae1c,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C20,MAIN,2366920c92aaa5ed,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C21,MAIN,94e42a738b2c0679,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C22,MAIN,9a1a76566317c695,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C23,MAIN,57a7f896ffdd17d3,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C24,MAIN,01231d177e16803f,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C25,MAIN,3afe84e5d8cf102a,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C26,MAIN,59b0a9ca5e46934b,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C27,MAIN,eddd02184c869b51,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C28,MAIN,e4f373f4a94f0618,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C29,MAIN,6002c49a3a46f9ab,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C3,MAIN,b117fe17b3165ab0,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C4,MAIN,7262f99f08f3137d,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C44,MAIN,ae921e08757c4af5,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C5,MAIN,8d1ddb91526a8a1d,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C6,MAIN,4c3a47509b7bc1d9,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C7,MAIN,ca45ca13e1e4f084,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C8,MAIN,5aa66dc476d8d21e,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
C9,MAIN,28bcedd11a23f772,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
CAP,MAIN,976d257dccf28576,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
CN3,MAIN,ddc2829a6437fd13,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
CN4,MAIN,5b68654098780081,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D1,MAIN,5bbc6878315e319e,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D11,MAIN,59056fdd4927ebab,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D2,MAIN,1f464ce8f7162586,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D3,MAIN,1dda9a6b5102b948,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D4,MAIN,38d6d86997a06a3c,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D5,MAIN,49af5253d161c6de,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D6,MAIN,7731511e224060fa,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D7,MAIN,8a09b918b995e8db,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D8,MAIN,c783aec6c63ffbbc,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
D9,MAIN,63d494424240f276,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
DC-DC,MAIN,35c6e611114dd9ee,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
F1,MAIN,ee79873de6c2a226,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
GND,MAIN,185be8ce95bacc2d,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
GND1,MAIN,20e8d1b124c1438c,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
GND2,MAIN,dd0eb39dad09e95c,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
GND3,MAIN,4a924bfc5ce5e5cb,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
L1,MAIN,da20910c60ba13e9,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
L2,MAIN,2b303ca0d2b69717,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
L3,MAIN,436c6ca423eab13b,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
LED2,MAIN,8ec3a9d0c23b026e,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
LED3,MAIN,afaf3f1807178777,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
LOAD,MAIN,73a3a0974c19699c,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
Q1,MAIN,6aeec13be52e8a85,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
Q2,MAIN,888a6cb785eb3260,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
Q3,MAIN,0b7fb8f76ed90abf,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
Q4,MAIN,be58ddeb2374787c,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R1,MAIN,6266c55f494530ad,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R10,MAIN,8a47402a7b699ed5,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R11,MAIN,ab200f7cca8f994e,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R12,MAIN,be310927d7327693,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R13,MAIN,a90a8f0ba9912b15,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R14,MAIN,6a07f76ebf26ef4c,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R15,MAIN,9063173457d0a67b,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R16,MAIN,ab1f932402b6279e,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R17,MAIN,a0088113d02af275,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R18,MAIN,06c63fbd0e534be9,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R19,MAIN,ed629d90b023b8eb,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R2,MAIN,9009a7c8f2200f61,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
