designator,cluster,function,voltage_domain,isolation_domain,evidence_rule_ids,
DC-DC,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
C5,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
D1,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
L3,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
C1,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
R5,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
R6,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
R4,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
C9,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
C10,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
R1,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
R2,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
R3,L1-1,降压转换器核心：功率级、反馈补偿、使能与频率设置,interface,unknown,TI-FB-QUIET,TI-COMP
U1,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
C15,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
D3,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
L1,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
C13,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
R8,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
R9,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
C11,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
C12,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
R7,L1-2,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,3V3,unknown,TI-FB-QUIET,TI-IN-CAP
Q1,L1-3,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,interface,unknown,,
Q2,L1-3,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,interface,unknown,,
L2,L1-3,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,interface,unknown,,
