component_id,cluster_id,function,voltage_domain,isolation_domain,evidence_rule_ids
DC-DC,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C1,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C5,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D1,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
L3,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R1,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R2,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R3,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R4,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R5,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R6,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C9,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C10,L2-1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,interface,interface,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
