designator,cluster_id,component_uuid,cluster_name
+12V,L2-2,afdf6cfc288b1fd3,测试点，用于外部测量电压轨
+24V,L2-2,2891fc05960485ee,测试点，用于外部测量电压轨
1,L2-3,2eaf8c553b871f12,机械螺丝，无电气连接
2,L2-3,3d0935191dd8378f,机械螺丝，无电气连接
3,L2-3,071a7ea082997d22,机械螺丝，无电气连接
3V3,L2-2,f1c1523b2d0c62af,测试点，用于外部测量电压轨
4,L2-3,5eddef876eccbfc1,机械螺丝，无电气连接
C1,L2-1,12a89c098f24a575,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C10,L2-1,626d3d718768e6e7,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C11,L2-1,346fbca53114dfc1,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C12,L2-1,8104a01911c595ee,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C13,L2-1,a2d7275e9eaacba5,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C14,L2-1,ee448aaf8d5c0a87,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C15,L2-1,348f95251b3fc4ac,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C16,L2-1,0a389f30bb5d3ab4,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C17,L2-1,781af58c4272a38e,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C18,L2-1,7a2824bd230035fc,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C19,L2-1,30d1487be72f7f31,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C2,L2-1,60f8a4f31e53ae1c,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C20,L2-1,2366920c92aaa5ed,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C21,L2-1,94e42a738b2c0679,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C22,L2-1,9a1a76566317c695,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C23,L2-1,57a7f896ffdd17d3,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C24,L2-1,01231d177e16803f,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C25,L2-1,3afe84e5d8cf102a,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C26,L2-1,59b0a9ca5e46934b,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C27,L2-1,eddd02184c869b51,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C28,L2-1,e4f373f4a94f0618,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C29,L2-1,6002c49a3a46f9ab,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C3,L2-1,b117fe17b3165ab0,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C4,L2-1,7262f99f08f3137d,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C44,L2-1,ae921e08757c4af5,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C5,L2-1,8d1ddb91526a8a1d,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C6,L2-1,4c3a47509b7bc1d9,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C7,L2-1,ca45ca13e1e4f084,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C8,L2-1,5aa66dc476d8d21e,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
C9,L2-1,28bcedd11a23f772,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
CAP,L2-1,976d257dccf28576,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
CN3,L2-1,ddc2829a6437fd13,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
CN4,L2-1,5b68654098780081,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D1,L2-1,5bbc6878315e319e,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D11,L2-1,59056fdd4927ebab,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D2,L2-1,1f464ce8f7162586,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D3,L2-1,1dda9a6b5102b948,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D4,L2-1,38d6d86997a06a3c,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D5,L2-1,49af5253d161c6de,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D6,L2-1,7731511e224060fa,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D7,L2-1,8a09b918b995e8db,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D8,L2-1,c783aec6c63ffbbc,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
D9,L2-1,63d494424240f276,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
DC-DC,L2-1,35c6e611114dd9ee,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
F1,L2-1,ee79873de6c2a226,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
GND,L2-6,185be8ce95bacc2d,GND 测试点
GND1,L2-6,20e8d1b124c1438c,GND 测试点
GND2,L2-6,dd0eb39dad09e95c,GND 测试点
GND3,L2-6,4a924bfc5ce5e5cb,GND 测试点
L1,L2-1,da20910c60ba13e9,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
L2,L2-1,2b303ca0d2b69717,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
L3,L2-1,436c6ca423eab13b,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
LED2,L2-4,8ec3a9d0c23b026e,12V LED 指示支路
LED3,L2-5,afaf3f1807178777,3V3 LED 指示支路
LOAD,L2-1,73a3a0974c19699c,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
Q1,L2-1,6aeec13be52e8a85,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
Q2,L2-1,888a6cb785eb3260,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
Q3,L2-1,0b7fb8f76ed90abf,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
Q4,L2-1,be58ddeb2374787c,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R1,L2-1,6266c55f494530ad,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R10,L2-1,8a47402a7b699ed5,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R11,L2-1,ab200f7cca8f994e,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R12,L2-1,be310927d7327693,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R13,L2-1,a90a8f0ba9912b15,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R14,L2-1,6a07f76ebf26ef4c,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R15,L2-1,9063173457d0a67b,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R16,L2-1,ab1f932402b6279e,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R17,L2-1,a0088113d02af275,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R18,L2-1,06c63fbd0e534be9,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R19,L2-1,ed629d90b023b8eb,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R2,L2-1,9009a7c8f2200f61,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R20,L2-1,c84d5d3734518281,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R21,L2-1,faffec9c68010137,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R22,L2-1,9432562f83f6d351,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R24,L2-1,c8e9f66beafc97b4,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R25,L2-1,d83be077c220bb80,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R26,L2-1,cb5def6f3ed8e58d,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R27,L2-1,1e81cebf9a9fbe78,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
