designator,cluster_id,parent_cluster_id,component_uuid,cluster_name
+12V,L1-12,L2-2,afdf6cfc288b1fd3,测试点
+24V,L1-12,L2-2,2891fc05960485ee,测试点
1,L1-13,L2-3,2eaf8c553b871f12,机械螺丝
2,L1-13,L2-3,3d0935191dd8378f,机械螺丝
3,L1-13,L2-3,071a7ea082997d22,机械螺丝
3V3,L1-12,L2-2,f1c1523b2d0c62af,测试点
4,L1-13,L2-3,5eddef876eccbfc1,机械螺丝
C1,L1-1,L2-1,12a89c098f24a575,降压转换器核心：功率级、反馈补偿、使能与频率设置
C10,L1-1,L2-1,626d3d718768e6e7,降压转换器核心：功率级、反馈补偿、使能与频率设置
C11,L1-2,L2-1,346fbca53114dfc1,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
C12,L1-2,L2-1,8104a01911c595ee,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
C13,L1-2,L2-1,a2d7275e9eaacba5,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
C14,L1-5,L2-1,ee448aaf8d5c0a87,温度传感器与 3V3 去耦
C15,L1-2,L2-1,348f95251b3fc4ac,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
C16,L1-4,L2-1,0a389f30bb5d3ab4,+24V 输入储能与去耦电容
C17,L1-4,L2-1,781af58c4272a38e,+24V 输入储能与去耦电容
C18,L1-3,L2-1,7a2824bd230035fc,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
C19,L1-3,L2-1,30d1487be72f7f31,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
C2,L1-4,L2-1,60f8a4f31e53ae1c,+24V 输入储能与去耦电容
C20,L1-4,L2-1,2366920c92aaa5ed,+24V 输入储能与去耦电容
C21,L1-4,L2-1,94e42a738b2c0679,+24V 输入储能与去耦电容
C22,L1-3,L2-1,9a1a76566317c695,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
C23,L1-3,L2-1,57a7f896ffdd17d3,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
C24,L1-7,L2-1,01231d177e16803f,+12V 去耦电容组
C25,L1-3,L2-1,3afe84e5d8cf102a,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
C26,L1-7,L2-1,59b0a9ca5e46934b,+12V 去耦电容组
C27,L1-7,L2-1,eddd02184c869b51,+12V 去耦电容组
C28,L1-7,L2-1,e4f373f4a94f0618,+12V 去耦电容组
C29,L1-3,L2-1,6002c49a3a46f9ab,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
C3,L1-4,L2-1,b117fe17b3165ab0,+24V 输入储能与去耦电容
C4,L1-4,L2-1,7262f99f08f3137d,+24V 输入储能与去耦电容
C44,L1-8,L2-1,ae921e08757c4af5,3V3 去耦电容
C5,L1-1,L2-1,8d1ddb91526a8a1d,降压转换器核心：功率级、反馈补偿、使能与频率设置
C6,L1-7,L2-1,4c3a47509b7bc1d9,+12V 去耦电容组
C7,L1-7,L2-1,ca45ca13e1e4f084,+12V 去耦电容组
C8,L1-7,L2-1,5aa66dc476d8d21e,+12V 去耦电容组
C9,L1-1,L2-1,28bcedd11a23f772,降压转换器核心：功率级、反馈补偿、使能与频率设置
CAP,L1-3,L2-1,976d257dccf28576,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
CN3,L1-5,L2-1,ddc2829a6437fd13,温度传感器与 3V3 去耦
CN4,L1-3,L2-1,5b68654098780081,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
D1,L1-1,L2-1,5bbc6878315e319e,降压转换器核心：功率级、反馈补偿、使能与频率设置
D11,L1-3,L2-1,59056fdd4927ebab,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
D2,L1-6,L2-1,1f464ce8f7162586,输入保护与连接
D3,L1-2,L2-1,1dda9a6b5102b948,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
D4,L1-3,L2-1,38d6d86997a06a3c,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
D5,L1-3,L2-1,49af5253d161c6de,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
D6,L1-3,L2-1,7731511e224060fa,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
D7,L1-3,L2-1,8a09b918b995e8db,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
D8,L1-3,L2-1,c783aec6c63ffbbc,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
D9,L1-3,L2-1,63d494424240f276,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
DC-DC,L1-1,L2-1,35c6e611114dd9ee,降压转换器核心：功率级、反馈补偿、使能与频率设置
F1,L1-6,L2-1,ee79873de6c2a226,输入保护与连接
GND,L1-11,L2-6,185be8ce95bacc2d,GND 测试点
GND1,L1-11,L2-6,20e8d1b124c1438c,GND 测试点
GND2,L1-11,L2-6,dd0eb39dad09e95c,GND 测试点
GND3,L1-11,L2-6,4a924bfc5ce5e5cb,GND 测试点
L1,L1-2,L2-1,da20910c60ba13e9,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
L2,L1-3,L2-1,2b303ca0d2b69717,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
L3,L1-1,L2-1,436c6ca423eab13b,降压转换器核心：功率级、反馈补偿、使能与频率设置
LED2,L1-9,L2-4,8ec3a9d0c23b026e,LED2 指示支路
LED3,L1-10,L2-5,afaf3f1807178777,LED3 指示支路
LOAD,L1-3,L2-1,73a3a0974c19699c,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
Q1,L1-3,L2-1,6aeec13be52e8a85,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
Q2,L1-3,L2-1,888a6cb785eb3260,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
Q3,L1-3,L2-1,0b7fb8f76ed90abf,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
Q4,L1-3,L2-1,be58ddeb2374787c,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R1,L1-1,L2-1,6266c55f494530ad,降压转换器核心：功率级、反馈补偿、使能与频率设置
R10,L1-3,L2-1,8a47402a7b699ed5,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R11,L1-3,L2-1,ab200f7cca8f994e,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R12,L1-3,L2-1,be310927d7327693,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R13,L1-3,L2-1,a90a8f0ba9912b15,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R14,L1-3,L2-1,6a07f76ebf26ef4c,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R15,L1-3,L2-1,9063173457d0a67b,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R16,L1-3,L2-1,ab1f932402b6279e,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R17,L1-3,L2-1,a0088113d02af275,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R18,L1-3,L2-1,06c63fbd0e534be9,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R19,L1-3,L2-1,ed629d90b023b8eb,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R2,L1-1,L2-1,9009a7c8f2200f61,降压转换器核心：功率级、反馈补偿、使能与频率设置
R20,L1-3,L2-1,c84d5d3734518281,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R21,L1-3,L2-1,faffec9c68010137,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R22,L1-3,L2-1,9432562f83f6d351,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R24,L1-3,L2-1,c8e9f66beafc97b4,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R25,L1-3,L2-1,d83be077c220bb80,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R26,L1-3,L2-1,cb5def6f3ed8e58d,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R27,L1-3,L2-1,1e81cebf9a9fbe78,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
R3,L1-1,L2-1,56c2ec2ea84c82d2,降压转换器核心：功率级、反馈补偿、使能与频率设置
R35,L1-9,L2-4,b6b4e14beb9ffe87,LED2 指示支路
R36,L1-10,L2-5,15204640a1f9ad7f,LED3 指示支路
R4,L1-1,L2-1,b02bacc81439efca,降压转换器核心：功率级、反馈补偿、使能与频率设置
R42,L1-5,L2-1,11e38b824e3b1a7b,温度传感器与 3V3 去耦
R43,L1-5,L2-1,8d5419ae1809dc8d,温度传感器与 3V3 去耦
R44,L1-5,L2-1,848f7a9dd67961d7,温度传感器与 3V3 去耦
R5,L1-1,L2-1,f548cadf87127124,降压转换器核心：功率级、反馈补偿、使能与频率设置
R6,L1-1,L2-1,d6c46691bf156e92,降压转换器核心：功率级、反馈补偿、使能与频率设置
R7,L1-2,L2-1,b30b62ddb1f9c357,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
R8,L1-2,L2-1,3f5b1b4e39f88192,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
R9,L1-2,L2-1,ac4e517b34cbf310,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
U1,L1-2,L2-1,f24ee3859ae1e744,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压
U11,L1-5,L2-1,3dab1e058aa6023f,温度传感器与 3V3 去耦
U2,L1-3,L2-1,656311516eef82bc,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
U5,L1-3,L2-1,2b4858b6795d0e2d,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
VCAP1,L1-3,L2-1,68dd05bb3e972819,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口
VIN（+24V）,L1-6,L2-1,ae0ace35a079806e,输入保护与连接
